,cluster_no,rep_member,member_ID,n_members,n_SAVs
1,583,Q9H3D4,"Q9H3D4,P04637",2,1105.0
2,46,P00451,"P00451,P00450",2,675.0
3,1291,P10321,"P10321,P04439,P01889,P13747,Q30201,P30511,Q95460,P25311,P01891,P01892,P05534,P13746,P30443,P03989,P10319,P18464,P18465,P30460,P30464,P30466,P30475,P30479,P30480,P30481,P30484,P30490,P30491,P30685,Q04826,Q31610,P04222,P30504,P30505,Q29963,Q9TNN7,Q6DU44",36,400.0
4,306,Q14114,"Q14114,P01130",2,370.0
5,990,P08709,"P08709,P00740,P04070,P22891,Q9Y337",5,288.0
6,843,P07101,"P07101,Q8IWU9,P00439",3,254.0
7,1094,P06280,"P06280,P17050",2,247.0
8,125,P13569,P13569,1,241.0
9,735,P08842,"P08842,P34059,P15289",3,229.0
10,1548,P13765,"P13765,P01911,P79483,Q30154,P01920,P04440,P01912,P04229,P13760,P20039",10,224.0
11,29,O43451,"O43451,P14410,P10253",3,178.0
12,155,Q9UHC9,"Q9UHC9,O15118",2,172.0
13,71,P12883,P12883,1,166.0
14,616,Q06187,"Q06187,P42680,Q08881,P07948",4,165.0
15,52,P27708,"P27708,P31327",2,150.0
16,437,P00747,"P00747,P14210,P26927,P35030,P08246,P24158,P08311",7,133.0
17,335,P52790,"P52790,P52789,P19367,P35557",4,128.0
18,805,P22304,P22304,1,127.0
19,686,O00255,O00255,1,126.0
20,811,Q16678,"Q16678,P05177,P04798,P10635",4,125.0
21,827,P04062,P04062,1,125.0
22,499,P22033,P22033,1,125.0
23,647,P03952,"P03952,P03951,P20231,Q15661,Q99895",5,122.0
24,756,P30613,"P30613,P14618",2,118.0
25,430,P20807,"P20807,P07384,P17655,O14815,P04632",5,114.0
26,878,Q04771,"Q04771,P37023,P36897,O00238",4,114.0
27,497,P40692,P40692,1,112.0
28,107,Q09428,"Q09428,P33527",2,109.0
29,428,P11362,"P11362,P21802,P22607,P22455",4,105.0
30,801,P35520,P35520,1,105.0
31,21,Q13315,Q13315,1,104.0
32,996,P01008,"P01008,P01011,P05120,Q99574,P29508,P30740",6,98.0
33,586,P16278,P16278,1,98.0
34,907,P05155,P05155,1,94.0
35,988,P49768,P49768,1,90.0
36,918,P11509,"P11509,Q16696,P05181,P20813,P11712,P10632,P33261",7,89.0
37,683,Q9UBP0,Q9UBP0,1,88.0
38,1768,P42773,"P42773,P42771",2,88.0
39,249,P41180,P41180,1,88.0
40,217,Q12809,Q12809,1,87.0
41,1069,Q92947,Q92947,1,85.0
42,1146,P00966,P00966,1,85.0
43,1545,O14618,"O14618,P00441",2,84.0
44,1614,P25189,P25189,1,81.0
45,1674,P00492,P00492,1,77.0
46,189,P54098,P54098,1,76.0
47,656,P20823,"P20823,P35680",2,76.0
48,917,P08686,P08686,1,75.0
49,865,P11413,P11413,1,75.0
50,1307,P08397,P08397,1,75.0
51,1583,P20036,"P20036,P01909,P06340",3,74.0
52,192,P08603,P08603,1,73.0
53,1052,Q93099,Q93099,1,72.0
54,495,P49747,P49747,1,72.0
55,233,P07949,P07949,1,71.0
56,1254,P07902,P07902,1,71.0
57,1298,P04001,"P04001,P04000,P08100",3,71.0
58,322,P43246,P43246,1,70.0
59,27,P04275,P04275,1,69.0
60,834,P15848,P15848,1,69.0
61,293,P35523,P35523,1,68.0
62,150,P06213,"P06213,P08069",2,68.0
63,64,Q14524,"Q14524,P35499",2,68.0
64,1619,O15305,O15305,1,67.0
65,995,P04424,P04424,1,67.0
66,874,P04745,"P04745,Q16874",2,67.0
67,511,P54802,P54802,1,66.0
68,1652,P29033,P29033,1,66.0
69,898,P51688,P51688,1,66.0
70,624,P35475,P35475,1,64.0
71,859,P05108,"P05108,P15538,P19099",3,64.0
